mRFP	GPM6a	T71P	GPM6a	T76I	GPM6a	T210N	GPM6a	M154V	F156Y	GPM6a	R163Q
0.0922445	0.0713076	0.0735743	0.167522	0.266597	0.0786102	0.0989714	0.761516	0.324581	0.318825	0.0691915	0.0929183
0.0782901	0.0997542	0.0822714	0.174542	0.173279	0.23141	0.0788974	0.529821	0.983686	0.278931	0.0600904	0.0848968
0.072266	0.11864	0.0828142	0.214592	0.278002	0.106334	0.0672379	1.102	0.29517	0.396406	0.0744821	0.0832301
0.0649539	0.0978688	0.0665147	0.233143	0.18517	0.124334	0.060108	0.754137	0.476926	0.29746	0.0501605	0.0719519
0.0736446	0.0738755	0.082994	0.587938	0.231408	0.135635	0.109104	1.20176	0.317914	0.124461	0.0723849	0.131898
0.0740132	0.163769	0.0967438	0.319334	0.199578	0.452138	0.0742713	1.56499	0.893528	0.165571	0.0779004	0.0650074
0.0639808	0.0657351	0.0949171	0.372822	0.18759	0.149217	0.0613239	0.267874	0.266015	1.00218	0.0461541	0.107329
0.0514994	0.0753797	0.0713827	0.268868	0.353621	0.50926	0.0541673	0.717835	0.316839	0.743802	0.0958574	0.136355
0.086595	0.0705869	0.0547609	0.208753	0.163997	0.119078	0.0972398	0.505291	0.291402	0.388483	0.120335	0.0811018
0.0576339	0.0720602	0.0636745	0.184929	0.416807	0.0584719	0.0790512	0.201294		0.291645	0.0529986	0.0576847
0.0669651	0.0746538	0.0846383			0.0948808	0.0541181	0.838191		0.146694	0.0951478	0.0552881
0.0655886	0.0894521	0.0567869				0.0662693	0.258879		0.154459		0.083678
0.069507											
